,Name,Artist,Acousticness,Danceability,Speechiness,Energy,Liveness,Valence,Key,Mode,Tempo,Duration,Popularity
0,"12 Etudes, Op.25: No.11 In A Minor ""Winter Wind""",Frédéric Chopin,0.969,0.327,0.0393,0.356,0.137,0.0733,0.0,1.0,117.626,222280.0,15.0
1,"Violin Concerto in E-Flat Major, Op. 8, No. 5, RV 253, ""La tempesta di mare"": I. Presto",Antonio Vivaldi,0.914,0.532,0.0406,0.549,0.147,0.668,3.0,1.0,112.705,202902.0,19.0
2,"Etude in C-Sharp Minor, Op. 25/7",Frédéric Chopin,0.993,0.168,0.0457,0.0116,0.13,0.0396,1.0,0.0,67.23,279160.0,28.0
3,Subido en el Palo - En Vivo,La Banda Gorda,0.51,0.624,0.12,0.478,0.226,0.851,4.0,1.0,117.761,282277.0,4.0
4,You Are The Everything - Remastered,R.E.M.,0.0869,0.301,0.033,0.347,0.218,0.681,7.0,1.0,153.408,224667.0,28.0
5,"Ludwig van Beethoven-Serenade in D for Flute, Violin, and Viola, Op.25 - 3.Allegro molto",Beethoven,0.988,0.542,0.0431,0.0441,0.275,0.427,9.0,0.0,120.245,130000.0,18.0
6,"12 Etudes, Op.25: No.5 In E Minor",Frédéric Chopin,0.992,0.327,0.044,0.0768,0.137,0.146,4.0,1.0,80.647,232093.0,20.0
7,Solsbury Hill - Live,Peter Gabriel,0.0323,0.584,0.044,0.921,0.93,0.435,11.0,1.0,111.282,310707.0,22.0
8,Etude Op. 10 : No. 10 in A-Flat Major,Frédéric Chopin,0.992,0.288,0.044,0.0983,0.114,0.311,8.0,1.0,112.693,158600.0,14.0
9,Lejos De Mi Tierra,Patrulla 81,0.322,0.603,0.0424,0.474,0.316,0.961,9.0,1.0,139.887,197813.0,28.0
10,"Violin Sonata No. 25 in D Minor, B. d2: III. Allegro assai",Giuseppe Tartini,0.989,0.656,0.142,0.0279,0.105,0.776,10.0,1.0,113.014,86448.0,2.0
11,"24 Caprices for Violin, Op.1, MS. 25: No. 1 in E Major",Niccolò Paganini,0.968,0.495,0.0402,0.198,0.294,0.785,4.0,1.0,95.735,113080.0,19.0
12,All Over You,Live,0.0023,0.357,0.0539,0.865,0.215,0.357,1.0,1.0,131.795,239707.0,29.0
13,"Mona (with Bo Diddley) - Live at Academy of Music, New York, NY, March 25, 1972",Grateful Dead,0.76,0.657,0.0864,0.627,0.709,0.746,7.0,1.0,104.505,214040.0,10.0
14,"12 Etudes, Op.25: No.8 In D Flat",Frédéric Chopin,0.992,0.356,0.0486,0.262,0.0884,0.251,1.0,1.0,110.245,67080.0,14.0
15,Your Savior - 25th Anniversary Mix,Temple Of The Dog,0.00129,0.496,0.0683,0.884,0.0654,0.792,7.0,1.0,94.602,244307.0,27.0
16,"Franklin's Tower - Live at Boston Garden, September 25, 1991",Grateful Dead,0.64,0.517,0.0515,0.491,0.456,0.594,7.0,1.0,108.389,641600.0,17.0
17,Like Me,Element A.U.,0.213,0.845,0.257,0.843,0.129,0.187,10.0,0.0,150.049,163400.0,28.0
18,Dile A Tu Amiga Bonita,Liberación,0.127,0.682,0.0281,0.779,0.155,0.932,0.0,1.0,87.943,171213.0,21.0
19,"Smokestack Lightnin' - Live at Academy of Music, New York, NY, March 25, 1972",Grateful Dead,0.272,0.517,0.0375,0.52,0.698,0.599,11.0,0.0,115.088,791600.0,14.0
20,"Symphony No.25 In G Minor, K. 173dB (K.183): Menuetto & Trio",Wolfgang Amadeus Mozart,0.989,0.46,0.0493,0.0113,0.298,0.243,7.0,1.0,122.661,229613.0,24.0
21,Honky Tonk Song,Faron Young,0.757,0.715,0.0469,0.527,0.29,0.904,5.0,1.0,120.275,136020.0,13.0
22,"Johannes Passion, BWV 245, Pt. 2: 25a. Rezitativ and Chorus "" Allda kreuzigten sie ihn"" (Evangelist) - 25b. "" Schreibe nicht: der Jüden König"" (Turba) - 25c. ""Pilatus antwortet"" (Evangelist, Pilatus)",Johann Sebastian Bach,0.903,0.462,0.0597,0.19,0.295,0.499,2.0,1.0,99.289,111467.0,10.0
23,To You I Lift My Soul (Psalm 25a),Crown & Covenant,0.99,0.158,0.052,0.164,0.157,0.0892,2.0,1.0,77.549,174533.0,5.0
24,"Chopin Etudes, Opus 25 (1836) No. 12",Chopin,0.886,0.504,0.0371,0.316,0.126,0.104,5.0,0.0,120.003,170996.0,24.0
25,God Must Have Spent a Little More Time on You,Alabama,0.0844,0.628,0.0249,0.474,0.121,0.285,10.0,1.0,84.876,280667.0,28.0
26,"12 Etudes, Op.25: No.3 In F",Frédéric Chopin,0.993,0.319,0.0334,0.123,0.0822,0.479,0.0,1.0,130.967,111200.0,30.0
27,To the Well,William Allaudin Mathieu,0.993,0.353,0.0379,0.107,0.0756,0.173,5.0,1.0,90.984,291800.0,14.0
28,"The Enemy Inside - Live at the Boston Opera House, Boston, MA, 3/25/2014",Dream Theater,0.00014,0.358,0.201,0.97,0.963,0.208,4.0,0.0,144.11,377693.0,26.0
29,"Scarlet Begonias - Live at Capital Centre, September 25, 1976",Grateful Dead,0.712,0.475,0.0338,0.613,0.808,0.877,4.0,1.0,168.594,667200.0,14.0
30,"12 Etudes, Op.25: No.1 In A Flat ""Harp Study""",Frédéric Chopin,0.992,0.259,0.0337,0.0566,0.0944,0.0392,8.0,1.0,103.157,132560.0,8.0
31,"Tibetan Bells - 25 Minutes of Tibetan Bells, Drones and Voices from Tibet for Yoga and Meditation",TCO,0.51,0.187,0.04,0.102,0.0807,0.023,5.0,1.0,131.763,1503675.0,21.0
32,Live @ Dodger Stadium,The Pharcyde,0.728,0.654,0.389,0.899,0.462,0.683,2.0,1.0,99.876,232253.0,22.0
33,Te Quiero Mucho,Patrulla 81,0.0683,0.628,0.0308,0.541,0.328,0.818,7.0,1.0,144.833,139213.0,26.0
34,"Mozart: Piano Concerto No. 25 in C Major, K. 503: I. Allegro maestoso",Wolfgang Amadeus Mozart,0.982,0.345,0.038,0.105,0.0815,0.217,0.0,1.0,135.093,937240.0,28.0
35,God Save Ireland,Dermot O'Brien,0.786,0.681,0.0454,0.572,0.153,0.973,7.0,1.0,118.673,131267.0,20.0
36,Buck Rogers In The 25th Century,Daniel Caine Orchestra,0.179,0.467,0.0312,0.519,0.0703,0.529,5.0,1.0,138.146,145893.0,19.0
37,Que Hacemos Con Mama,Los Baron De Apodaca,0.626,0.778,0.0567,0.419,0.247,0.658,7.0,0.0,145.035,134213.0,22.0
38,South Bronx Subway Rap,Grandmaster Caz,0.0297,0.913,0.26,0.853,0.18,0.935,2.0,1.0,103.704,143587.0,24.0
39,"Help on the Way - Live at Boston Garden, September 25, 1991",Grateful Dead,0.747,0.647,0.0352,0.35,0.471,0.739,0.0,0.0,95.472,255267.0,16.0
40,Breathe - Instrumental,Maranatha! Instrumental,0.616,0.596,0.0328,0.341,0.108,0.14,2.0,1.0,137.955,292227.0,23.0
41,Alive & Well,The Great Divide,0.0353,0.736,0.0266,0.646,0.26,0.931,7.0,1.0,130.485,165754.0,13.0
42,This Is the Picture (Excellent Birds) - 2012 Remaster,Peter Gabriel,0.0165,0.82,0.0806,0.409,0.301,0.736,1.0,1.0,91.03,262547.0,26.0
43,Making the Plane - Instrumental,John Williams,0.872,0.563,0.0527,0.355,0.148,0.601,0.0,1.0,77.66,52453.0,28.0
44,Hello Darlin',Conway Twitty,0.959,0.409,0.0289,0.264,0.133,0.38,0.0,1.0,83.032,147079.0,21.0
45,Have A Little Talk With Jesus,VeggieTales,0.644,0.541,0.0502,0.427,0.159,0.804,0.0,1.0,180.721,133507.0,23.0
46,Etude Op. 25 : No. 10 in B Minor,Frédéric Chopin,0.994,0.247,0.0453,0.105,0.104,0.0679,11.0,1.0,65.833,275147.0,13.0
47,Not Even The Trees - 2019 Remaster,Hootie & The Blowfish,0.136,0.392,0.0378,0.847,0.15,0.51,2.0,1.0,154.432,277264.0,20.0
48,"Desdemona - Live At The Beacon Theatre, March 25, 2001",The Allman Brothers Band,0.664,0.348,0.0706,0.869,0.773,0.319,5.0,0.0,152.087,789907.0,21.0
49,Come Now Is The Time To Worship,Maranatha! Instrumental,0.376,0.605,0.0269,0.753,0.327,0.35,11.0,1.0,100.0,236827.0,29.0
50,El Florero,Los Remis,0.169,0.831,0.0405,0.62,0.106,0.965,10.0,1.0,124.929,155133.0,23.0
51,Hail to the King,Vineyard Worship,0.28,0.289,0.0266,0.448,0.61,0.274,9.0,1.0,141.752,263440.0,17.0
52,Come On In My Kitchen - SA.2585-2,Robert Johnson,0.918,0.661,0.0433,0.175,0.353,0.646,5.0,1.0,104.251,164613.0,24.0
53,A Chill,Alex Cortiz,0.425,0.733,0.0478,0.356,0.0686,0.338,1.0,1.0,89.917,311227.0,27.0
54,"La pluie et l'orage, Pt. 25",Sons de la Nature Projet France,0.483,0.299,0.078,0.645,0.299,0.0318,1.0,1.0,49.26,116397.0,17.0
55,"12 Etudes, Op.25: No.8 In D Flat",Frédéric Chopin,0.992,0.356,0.0486,0.262,0.0884,0.251,1.0,1.0,110.245,67080.0,14.0
56,Working Man's Ph.D,Aaron Tippin,0.226,0.592,0.0333,0.828,0.331,0.761,8.0,1.0,124.955,204906.0,21.0
57,Etude Op. 25 : No. 2 in F Minor,Frédéric Chopin,0.993,0.222,0.0413,0.058,0.11,0.073,5.0,0.0,67.282,111547.0,14.0
58,Ryan Gasoline,Jorrdee,0.0911,0.761,0.351,0.274,0.111,0.252,8.0,1.0,150.012,204854.0,4.0
59,Tequila,Impacto De Montemorelos,0.231,0.757,0.267,0.523,0.104,0.828,9.0,1.0,103.797,167867.0,20.0
60,"Praeludium et Fuga in C-Moll, BWV 549: Fuga",Johann Sebastian Bach,0.813,0.0944,0.0345,0.141,0.0808,0.204,0.0,0.0,70.506,218067.0,8.0
61,The System Only Dreams in Total Darkness - Live at Berkeley 9/25/18,The National,0.00224,0.478,0.155,0.654,0.618,0.348,10.0,0.0,114.049,288009.0,26.0
62,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven,0.994,0.218,0.0474,0.0157,0.058,0.126,9.0,0.0,127.306,202400.0,1.0
63,"12 Etudes, Op.25: No. 11 in A minor ""Winter Wind""",Frédéric Chopin,0.984,0.254,0.041,0.192,0.101,0.0992,9.0,0.0,165.188,206000.0,20.0
64,Enter Sandman,U2,0.00386,0.324,0.061,0.891,0.97,0.453,10.0,0.0,137.843,374120.0,23.0
65,Etude Op. 10 : No. 5 in G-Flat Major,Frédéric Chopin,0.993,0.328,0.0389,0.0676,0.102,0.256,6.0,1.0,106.697,115560.0,15.0
66,We're All We Need (ABGT250) - ilan Bluestone Remix / ABGT250 Acoustic Edit,Above & Beyond,0.0147,0.504,0.0558,0.563,0.739,0.175,3.0,1.0,129.612,264236.0,24.0
67,Camo 88,Jorrdee,0.776,0.442,0.109,0.497,0.172,0.258,8.0,1.0,101.664,244838.0,4.0
68,Still Doll (From 'Vampire Knight'),Harajuku Nation,0.722,0.725,0.0507,0.0419,0.119,0.387,9.0,0.0,119.939,88027.0,27.0
69,In The Year 2525,Visage,0.169,0.659,0.0436,0.626,0.0535,0.537,9.0,0.0,129.287,225133.0,20.0
70,"Etudes, Op. 25: No. 10 in B Minor",Frédéric Chopin,0.991,0.278,0.0473,0.189,0.102,0.0424,11.0,1.0,70.575,248760.0,23.0
71,Piensa en Mí - En Vivo,Liran' Roll,0.541,0.478,0.0359,0.731,0.975,0.498,7.0,1.0,118.351,304387.0,30.0
72,He Ain't Worth Missing,Toby Keith,0.313,0.768,0.0323,0.734,0.0523,0.939,7.0,1.0,101.109,185280.0,27.0
73,About Today - Live at Berkeley 9/25/18,The National,0.0476,0.254,0.0954,0.409,0.453,0.0857,0.0,1.0,108.258,857934.0,24.0
74,"Viola Sonata, Op. 25, No. 1: IV. Rasendes Zeitmass. Wild. Tonschonheit ist Nebensache",Paul Hindemith,0.968,0.465,0.0393,0.463,0.085,0.75,5.0,1.0,103.85,92160.0,15.0
75,The Reactor / The Hologram,Jerry Goldsmith,0.685,0.26,0.0508,0.0913,0.0828,0.0336,9.0,1.0,143.728,339587.0,30.0
76,El Perro De Mi Compadre,Banda Movil,0.571,0.783,0.0673,0.856,0.128,0.971,7.0,1.0,150.892,119987.0,23.0
77,"Chorale Preludes: No. 25, Valet will ich dir geben, BWV 736",Johann Sebastian Bach,0.574,0.15,0.0359,0.158,0.126,0.0486,3.0,1.0,105.417,359960.0,22.0
78,Estimated Prophet -> - Live 2018-10-25,Joe Russo's Almost Dead,0.578,0.501,0.0644,0.344,0.499,0.409,7.0,1.0,128.095,624400.0,12.0
79,Until the Last Moment - Remastered,Yanni,0.946,0.309,0.0331,0.363,0.677,0.0623,6.0,0.0,98.032,405253.0,30.0
80,"Yes, I Believe",Point Of Grace,0.57,0.378,0.0318,0.53,0.098,0.204,10.0,1.0,141.886,280467.0,15.0
81,"12 Etudes, Op.25: No.11 In A Minor ""Winter Wind""",Frédéric Chopin,0.987,0.298,0.04,0.345,0.117,0.0789,0.0,1.0,120.106,211667.0,28.0
82,Te Necesito,Los Acosta,0.028,0.561,0.0319,0.7,0.35,0.837,5.0,1.0,172.176,221933.0,27.0
83,You - Remastered,R.E.M.,0.0943,0.15,0.0337,0.54,0.106,0.105,7.0,1.0,180.118,294733.0,30.0
84,2,Jorrdee,0.72,0.221,0.1,0.772,0.11,0.0658,9.0,0.0,161.005,219470.0,10.0
85,"12 Études, Op. 25: Étude No. 4 in A Minor",Frédéric Chopin,0.995,0.559,0.0381,0.221,0.113,0.829,5.0,1.0,89.123,102240.0,14.0
86,25 De Julio (En Vivo),GRUPO D'CEO DE LOS HERMANOS TRINIDAD,0.0387,0.657,0.0318,0.648,0.661,0.734,0.0,1.0,137.557,251144.0,11.0
87,No Charge,Tammy Wynette,0.826,0.438,0.0346,0.128,0.117,0.332,8.0,1.0,87.326,192160.0,30.0
88,"25 or 6 to 4 - Live in Chicago, IL, 1999",Chicago,0.00216,0.372,0.108,0.952,0.985,0.263,7.0,1.0,143.037,353400.0,13.0
89,Carin at the Liquor Store - Live at Berkeley 9/24/18,The National,0.0821,0.447,0.0348,0.312,0.824,0.231,10.0,1.0,97.642,222923.0,29.0
90,Downtown (feat. Petula Clark),The Saw Doctors,0.172,0.457,0.0688,0.89,0.12,0.526,11.0,1.0,122.634,182575.0,30.0
91,"Fantasia et Fuga in G-Moll, BWV 542: Fuga",Johann Sebastian Bach,0.477,0.0706,0.0385,0.155,0.234,0.158,8.0,0.0,72.782,357000.0,1.0
92,"Blew - Live In Amsterdam At Paradiso, November 25, 1991",Nirvana,0.000368,0.222,0.168,0.949,0.708,0.227,7.0,1.0,132.535,216240.0,29.0
93,Abriss,257ers,0.0285,0.779,0.457,0.509,0.165,0.437,5.0,0.0,180.087,234907.0,28.0
94,Come On In My Kitchen - SA.2585-1,Robert Johnson,0.933,0.596,0.111,0.0263,0.171,0.238,0.0,1.0,82.474,172267.0,20.0
95,25on5,T Royal,0.00518,0.841,0.0384,0.7,0.0946,0.377,2.0,0.0,100.009,230676.0,1.0
96,Mi Niña,José José,0.579,0.285,0.0363,0.433,0.0783,0.482,5.0,1.0,107.382,209133.0,28.0
97,Freshly Serene Storm,Rain Sounds,0.943,0.164,0.0437,0.0214,0.11,0.0947,0.0,1.0,101.965,101000.0,24.0
98,Rise,Element A.U.,0.232,0.723,0.382,0.943,0.475,0.727,10.0,0.0,169.846,240000.0,27.0
99,Como Un Sueño,Jorge Meza Y Su Tropi Colombia,0.635,0.61,0.034,0.805,0.126,0.865,10.0,1.0,167.891,233213.0,24.0
100,"Prelude No. 25 in C-Sharp Minor, Op. 45",Sofia Mendel,0.985,0.702,0.0518,0.16,0.0956,0.357,9.0,1.0,96.814,259580.0,21.0
101,Donde Estas,Banda La Autentica,0.255,0.687,0.167,0.573,0.0852,0.739,0.0,0.0,74.814,174103.0,18.0
102,"12 Etudes, Op. 25: Etude No. 23 in A Minor, Op. 25, No. 11, ""Winter Wind""",Frédéric Chopin,0.957,0.341,0.041,0.233,0.161,0.0993,9.0,0.0,120.561,216547.0,18.0
103,"12 Études, Op. 10: Étude No. 4 in C-Sharp Minor",Frédéric Chopin,0.991,0.301,0.0315,0.225,0.119,0.447,1.0,0.0,173.47,121693.0,23.0
