,Name,Artist,Acousticness,Danceability,Speechiness,Energy,Liveness,Valence,Key,Mode,Tempo,Duration,Popularity
0,All I Want for Christmas Is You,Mariah Carey,0.164,0.335,0.0386,0.625,0.0708,0.346,7.0,1.0,150.277,241107.0,70.0
1,Jingle Bell Rock,Bobby Helms,0.643,0.754,0.0363,0.424,0.0652,0.806,2.0,1.0,119.705,130973.0,61.0
2,Rockin' Around The Christmas Tree,Brenda Lee,0.614,0.589,0.0502,0.472,0.505,0.898,8.0,1.0,67.196,126267.0,62.0
3,A Holly Jolly Christmas - Single Version,Burl Ives,0.579,0.683,0.0303,0.375,0.076,0.888,0.0,1.0,140.467,135533.0,52.0
4,The Christmas Song (Merry Christmas To You),Nat King Cole,0.92,0.319,0.0341,0.21,0.138,0.209,1.0,1.0,78.696,192160.0,58.0
5,Rudolph The Red-Nosed Reindeer,Burl Ives,0.671,0.67,0.0385,0.275,0.199,0.806,0.0,1.0,152.649,130027.0,48.0
6,It's the Most Wonderful Time of the Year,Andy Williams,0.766,0.24,0.037,0.598,0.117,0.776,7.0,1.0,202.082,151933.0,61.0
7,SICKO MODE,Travis Scott,0.00513,0.834,0.222,0.73,0.124,0.446,8.0,1.0,155.008,312820.0,85.0
8,"thank u, next",Ariana Grande,0.229,0.717,0.0658,0.653,0.101,0.412,1.0,1.0,106.966,207320.0,85.0
9,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.556,0.76,0.0466,0.479,0.0703,0.913,2.0,1.0,89.911,158040.0,86.0
10,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,0.903,0.653,0.0595,0.259,0.362,0.835,2.0,1.0,142.157,155453.0,61.0
11,Without Me,Halsey,0.297,0.752,0.0705,0.488,0.0936,0.533,6.0,1.0,136.041,201661.0,84.0
12,Sleigh Ride,The Ronettes,0.403,0.528,0.0288,0.772,0.316,0.852,2.0,1.0,91.735,181267.0,55.0
13,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,0.799,0.834,0.0358,0.372,0.275,0.976,1.0,1.0,96.628,150267.0,50.0
14,Last Christmas,Wham!,0.189,0.735,0.0293,0.478,0.355,0.947,2.0,1.0,107.682,262960.0,64.0
15,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.0852,0.897,0.292,0.662,0.534,0.389,1.0,0.0,112.511,145543.0,82.0
16,Mo Bamba,Sheck Wes,0.194,0.729,0.0315,0.625,0.248,0.261,4.0,1.0,146.034,183907.0,80.0
17,(There's No Place Like) Home For The Holidays,Carpenters,0.915,0.287,0.0328,0.296,0.0849,0.428,4.0,1.0,83.792,155960.0,34.0
18,It's Beginning to Look a Lot like Christmas,Michael Bublé,0.908,0.339,0.0375,0.214,0.341,0.363,4.0,1.0,94.775,206640.0,60.0
19,ZEZE (feat. Travis Scott & Offset),Kodak Black,0.0521,0.861,0.176,0.603,0.0924,0.504,8.0,0.0,98.043,228760.0,81.0
20,a lot,21 Savage,0.0395,0.837,0.086,0.636,0.342,0.274,1.0,1.0,145.972,288624.0,80.0
21,White Christmas,Bing Crosby,0.673,0.317,0.0381,0.158,0.338,0.247,9.0,1.0,130.503,177480.0,58.0
22,Feliz Navidad,José Feliciano,0.552,0.512,0.0383,0.831,0.336,0.963,2.0,1.0,148.82,182067.0,53.0
23,Money Spread (feat. Young Nudy),Lil Uzi Vert,0.0227,0.78,0.223,0.617,0.302,0.226,1.0,1.0,135.879,217008.0,75.0
24,Wake Up in the Sky,Gucci Mane,0.00381,0.8,0.0485,0.578,0.359,0.367,4.0,0.0,143.01,204665.0,76.0
25,Going Bad (feat. Drake),Meek Mill,0.259,0.889,0.0905,0.496,0.252,0.544,4.0,0.0,86.003,180522.0,83.0
26,Have Yourself A Merry Little Christmas,Sam Smith,0.957,0.438,0.0414,0.178,0.316,0.344,5.0,1.0,75.248,170964.0,59.0
27,Christmas (Baby Please Come Home),Mariah Carey,0.022,0.566,0.0311,0.782,0.109,0.697,3.0,1.0,127.16,153240.0,56.0
28,Jingle Bells,Frank Sinatra,0.758,0.706,0.0342,0.383,0.0608,0.87,8.0,1.0,86.997,122160.0,52.0
29,Run Rudolph Run - Single Version,Chuck Berry,0.812,0.681,0.0912,0.715,0.0777,0.957,7.0,0.0,152.132,165733.0,57.0
30,Underneath the Tree,Kelly Clarkson,0.0013,0.509,0.0537,0.812,0.214,0.689,8.0,1.0,159.876,229640.0,52.0
31,Blue Christmas,Elvis Presley,0.902,0.465,0.0425,0.27,0.145,0.58,4.0,1.0,94.519,129173.0,58.0
32,Ballin' (with Roddy Ricch),Mustard,0.392,0.809,0.0735,0.545,0.151,0.244,7.0,1.0,97.008,180435.0,88.0
33,Happy Xmas (War Is Over) - Remastered,John Lennon,0.319,0.328,0.0315,0.607,0.765,0.395,2.0,1.0,146.539,213880.0,62.0
34,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,0.322,0.774,0.0319,0.511,0.0672,0.771,11.0,1.0,94.736,227653.0,60.0
35,Lucid Dreams,Juice WRLD,0.349,0.511,0.2,0.566,0.34,0.218,6.0,0.0,83.903,239836.0,88.0
36,Happier,Marshmello,0.191,0.687,0.0452,0.792,0.167,0.671,5.0,1.0,100.015,214290.0,87.0
37,I'll Be Home for Christmas,Michael Bublé,0.934,0.282,0.0315,0.101,0.159,0.141,7.0,1.0,83.13,264827.0,45.0
38,Cozy Little Christmas,Katy Perry,0.128,0.774,0.128,0.608,0.0895,0.56,7.0,1.0,137.494,182521.0,53.0
39,The Christmas Song (Merry Christmas To You),Nat King Cole,0.92,0.319,0.0341,0.21,0.138,0.209,1.0,1.0,78.696,192160.0,58.0
40,O Tannenbaum,Vince Guaraldi Trio,0.908,0.583,0.0404,0.191,0.126,0.342,5.0,1.0,123.303,309387.0,50.0
41,Please Come Home For Christmas,Adam Lambert,0.547,0.426,0.0314,0.562,0.122,0.401,11.0,1.0,174.162,177864.0,44.0
42,Frosty The Snowman,Ella Fitzgerald,0.733,0.579,0.0513,0.502,0.281,0.836,8.0,1.0,76.816,131733.0,51.0
43,Leave Me Alone,Flipp Dinero,0.107,0.792,0.0851,0.743,0.183,0.742,7.0,1.0,150.024,195637.0,76.0
44,Ballin' (with Roddy Ricch),Mustard,0.392,0.809,0.0735,0.545,0.151,0.244,7.0,1.0,97.008,180435.0,88.0
45,Happy Holiday / The Holiday Season,Andy Williams,0.727,0.505,0.0329,0.451,0.233,0.744,9.0,0.0,74.347,156867.0,44.0
46,Girls Like You (feat. Cardi B),Maroon 5,0.568,0.851,0.0505,0.541,0.13,0.448,0.0,1.0,124.959,235545.0,71.0
47,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.157,0.842,0.228,0.801,0.0642,0.617,8.0,0.0,95.881,212500.0,80.0
48,Wow.,Post Malone,0.136,0.829,0.208,0.539,0.103,0.388,11.0,0.0,99.96,149547.0,86.0
49,In My Feelings,Drake,0.00147,0.616,0.0643,0.936,0.0476,0.787,10.0,0.0,127.956,225600.0,0.0
50,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.556,0.76,0.0466,0.479,0.0703,0.913,2.0,1.0,89.911,158040.0,86.0
51,Wow.,Post Malone,0.136,0.829,0.208,0.539,0.103,0.388,11.0,0.0,99.96,149547.0,86.0
52,7 rings,Ariana Grande,0.592,0.778,0.334,0.317,0.0881,0.327,1.0,0.0,140.048,178627.0,87.0
53,Murder On My Mind,YNW Melly,0.145,0.759,0.0516,0.73,0.11,0.74,0.0,0.0,115.007,268434.0,83.0
54,Thotiana,Blueface,0.18,0.906,0.269,0.382,0.113,0.391,10.0,0.0,104.025,129264.0,75.0
55,MIDDLE CHILD,J. Cole,0.149,0.837,0.276,0.364,0.271,0.463,8.0,1.0,123.984,213594.0,83.0
56,Old Town Road - Remix,Lil Nas X,0.0533,0.878,0.102,0.619,0.113,0.639,6.0,1.0,136.041,157067.0,87.0
57,Please Me,Cardi B,0.0642,0.747,0.081,0.57,0.0832,0.65,1.0,1.0,133.992,200890.0,77.0
58,Without Me,Halsey,0.297,0.752,0.0705,0.488,0.0936,0.533,6.0,1.0,136.041,201661.0,84.0
59,SICKO MODE,Travis Scott,0.00513,0.834,0.222,0.73,0.124,0.446,8.0,1.0,155.008,312820.0,85.0
60,Going Bad (feat. Drake),Meek Mill,0.259,0.889,0.0905,0.496,0.252,0.544,4.0,0.0,86.003,180522.0,83.0
61,Happier,Marshmello,0.191,0.687,0.0452,0.792,0.167,0.671,5.0,1.0,100.015,214290.0,87.0
62,"break up with your girlfriend, i'm bored",Ariana Grande,0.0421,0.726,0.0917,0.554,0.106,0.335,5.0,0.0,169.999,190440.0,81.0
63,Sucker,Jonas Brothers,0.0427,0.842,0.0588,0.734,0.106,0.952,1.0,0.0,137.958,181027.0,86.0
64,Ballin' (with Roddy Ricch),Mustard,0.392,0.809,0.0735,0.545,0.151,0.244,7.0,1.0,97.008,180435.0,88.0
65,a lot,21 Savage,0.0395,0.837,0.086,0.636,0.342,0.274,1.0,1.0,145.972,288624.0,80.0
66,Robbery,Juice WRLD,0.328,0.685,0.0457,0.692,0.153,0.578,2.0,1.0,159.966,240051.0,86.0
67,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.0852,0.897,0.292,0.662,0.534,0.389,1.0,0.0,112.511,145543.0,82.0
68,"thank u, next",Ariana Grande,0.229,0.717,0.0658,0.653,0.101,0.412,1.0,1.0,106.966,207320.0,85.0
69,Envy Me,Calboy,0.234,0.74,0.27,0.488,0.241,0.584,1.0,0.0,149.042,120133.0,78.0
70,Better,Khalid,0.0765,0.596,0.097,0.552,0.104,0.112,0.0,0.0,97.949,229320.0,78.0
71,Mixed Personalities (feat. Kanye West),YNW Melly,0.457,0.661,0.0803,0.44,0.128,0.352,2.0,1.0,149.937,230400.0,77.0
72,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,0.0153,0.581,0.303,0.662,0.111,0.434,9.0,1.0,93.023,189487.0,83.0
73,Pure Water (with Migos),Mustard,0.174,0.682,0.127,0.559,0.344,0.137,0.0,1.0,202.015,192471.0,81.0
74,Shallow,Lady Gaga,0.371,0.572,0.0308,0.385,0.231,0.323,7.0,1.0,95.799,215733.0,86.0
75,Act Up,City Girls,0.0167,0.938,0.189,0.638,0.111,0.313,8.0,1.0,97.075,158332.0,75.0
76,bury a friend,Billie Eilish,0.74,0.905,0.332,0.389,0.106,0.196,8.0,1.0,120.046,193143.0,85.0
77,Moonlight,XXXTENTACION,0.556,0.921,0.0804,0.537,0.102,0.711,9.0,0.0,128.009,135090.0,85.0
78,Girls Like You (feat. Cardi B),Maroon 5,0.568,0.851,0.0505,0.541,0.13,0.448,0.0,1.0,124.959,235545.0,71.0
79,Better Now,Post Malone,0.331,0.68,0.04,0.578,0.135,0.341,10.0,1.0,145.038,231267.0,85.0
80,Put a Date On It (feat. Lil Baby),Yo Gotti,0.0123,0.835,0.31,0.659,0.372,0.579,4.0,1.0,129.93,195257.0,64.0
81,Eastside (with Halsey & Khalid),benny blanco,0.555,0.56,0.321,0.68,0.116,0.319,6.0,0.0,89.391,173800.0,82.0
82,Sweet but Psycho,Ava Max,0.0691,0.719,0.0476,0.704,0.166,0.628,1.0,1.0,133.002,187436.0,85.0
83,Money Spread (feat. Young Nudy),Lil Uzi Vert,0.0227,0.78,0.223,0.617,0.302,0.226,1.0,1.0,135.879,217008.0,75.0
84,Dancing With A Stranger (with Normani),Sam Smith,0.45,0.741,0.0656,0.52,0.222,0.347,8.0,1.0,102.998,171030.0,85.0
85,Lucid Dreams,Juice WRLD,0.349,0.511,0.2,0.566,0.34,0.218,6.0,0.0,83.903,239836.0,88.0
86,Look Back at It,A Boogie Wit da Hoodie,0.407,0.791,0.0413,0.587,0.148,0.536,3.0,0.0,96.057,179449.0,79.0
87,Worth It,YK Osiris,0.468,0.764,0.0588,0.528,0.0811,0.422,5.0,0.0,123.936,189253.0,72.0
